ticket_id,channel,county,area,customer_segment,plan_type,product,issue_category,issue_subcategory,intent,language,raw_message,sentiment_label,sentiment_score,priority,resolution_status,first_response_time_min,resolution_time_hours,assigned_team,agent_id,action_taken,csat_1to5,nps_-100to100,churn_risk
KECS-20250511-00001,Call Center,Migori,Market,Consumer,Postpaid,Home Internet,Home Internet,Billing / plan upgrade,Complaint,EN,"Hi KifaruTel, Billing / plan upgrade on my Home Internet. Location: Market, Migori. ??",Negative,-0.541,Low,Resolved,11,11.63,Tech-Fiber,AG-86379,Scheduled technician visit,4,-42,Medium
KECS-20251118-00002,Retail Shop,Bungoma,Town,Consumer,Prepaid,Data Bundles,Data Bundles,Bundle not activated,Complaint,EN,"Hi KifaruTel, Bundle not activated on my Data Bundles. Bundle: Daily 1GB (KES 50).",Negative,-0.702,Low,Resolved,57,12.64,Tech-Network,AG-19283,Advised app update and cache clear,2,-19,Medium
KECS-20240723-00003,Email,Machakos,Machakos Town,Consumer,Prepaid,Account/App,Account/App,Profile update error,Complaint,SHENG,"Hi KifaruTel, Profile update error on my Account/App. My number: 1669** (masked). si fair",Neutral,-0.066,Low,Resolved,16,8.75,Care-General,AG-84514,Escalated to technical team,2,-55,Low
KECS-20240214-00004,Call Center,Bungoma,Town,Consumer,Prepaid,Mobile Money,Mobile Money,PIN reset / locked account,Complaint,EN,"Hi KifaruTel, PIN reset / locked account on my Mobile Money. Transaction ref: M653306.",Negative,-0.774,Medium,Resolved,6,16.78,MobileMoney,AG-34657,Checked transaction status; advised retry,1,,Low
KECS-20250102-00005,Call Center,Kakamega,Mumias,Consumer,Prepaid,Data Bundles,Data Bundles,Data depleted too fast,Complaint,SW,"Hi KifaruTel, Data depleted too fast on my Data Bundles. Bundle: Daily 200MB (KES 20). niko area ya ??",Negative,-0.961,Low,Resolved,29,6.31,Tech-Network,AG-87262,Advised app update and cache clear,2,-78,Medium
KECS-20250625-00006,Mobile App Chat,Taita Taveta,Home,Consumer,Prepaid,Account/App,Account/App,Airtime top-up failure,Complaint,EN,"Hi KifaruTel, Airtime top-up failure on my Account/App. My number: 2081** (masked). !!!",Neutral,-0.086,Low,Resolved,13,3.30,Care-General,AG-93990,Escalated to technical team,4,,Low
KECS-20250127-00007,Call Center,Kwale,Town,SME,Prepaid,Mobile Money,Mobile Money,Fraud / scam report,Inquiry,EN,Nahitaji kujua about Mobile Money: Fraud / scam report. Transaction ref: M413921.,Negative,-0.782,Medium,Resolved,10,8.84,MobileMoney,AG-18244,Escalated to payments team,4,,Low
KECS-20240128-00008,Retail Shop,Bungoma,Market,Consumer,Prepaid,Data Bundles,Data Bundles,Night bundle / validity confusion,Praise,SHENG,Great support KifaruTel customer care. Data Bundles issue ilirekebishwa. Bundle: Daily 200MB (KES 20). hii vitu,Positive,0.648,Medium,Pending,11,35.92,Tech-Network,AG-92322,Advised app update and cache clear,,,Low
KECS-20251102-00009,Call Center,Nyandarua,Stage,Consumer,Prepaid,Account/App,Account/App,Airtime top-up failure,Report Fraud,SHENG,Please help! Fraud/scam on my line. Account/App: Airtime top-up failure. Amount KES 20. My number: 0196** (masked). saa hii,Negative,-0.919,Medium,Resolved,13,3.42,Care-General,AG-69340,Logged complaint for follow-up,1,,Medium
KECS-20250318-00010,WhatsApp,Nyeri,Town,Consumer,Prepaid,SIM & Registration,SIM & Registration,Lost SIM replacement,Complaint,EN,"Hi KifaruTel, Lost SIM replacement on my SIM & Registration. My number: 1489** (masked). ??",Negative,-0.607,Low,Resolved,18,8.33,Care-General,AG-37917,Verified KYC documents; updated profile,2,-44,Low
KECS-20250420-00011,Retail Shop,Kitui,Home,SME,Prepaid,VAS/Subscriptions,VAS/Subscriptions,Stop SMS/USSD subscription,Complaint,SW,"Hi KifaruTel, Stop SMS/USSD subscription on my VAS/Subscriptions. niko area ya ????",Negative,-0.975,Low,Resolved,14,5.35,Billing,AG-34558,Stopped subscription; educated on opt-in,3,-25,Medium
KECS-20250222-00012,Email,Nyeri,Market,Consumer,Prepaid,Voice & SMS,Voice & SMS,Can't make/receive calls,Inquiry,SW,How do I about Voice & SMS: Can't make/receive calls. My number: 6990** (masked). nisaidie,Negative,-1.000,High,Resolved,26,18.74,Tech-Network,AG-65375,Logged complaint for follow-up,2,-17,Low
KECS-20241227-00013,Facebook,Nyandarua,Market,Consumer,Pocket WiFi,SIM & Registration,SIM & Registration,Number portability,Complaint,EN,"Hi KifaruTel, Number portability on my SIM & Registration. My number: 6319** (masked).",Negative,-0.423,Medium,Pending,38,11.22,Care-General,AG-91905,Guided SIM replacement process,,,Medium
KECS-20240804-00014,Retail Shop,Mombasa,Kisauni,Consumer,Postpaid,Data Bundles,Data Bundles,Slow internet / buffering,Complaint,EN,"Hi KifaruTel, Slow internet / buffering on my Data Bundles. Bundle: Social Bundle (KES 100).",Neutral,-0.027,Medium,Resolved,27,26.65,Tech-Network,AG-08313,Credited bundle; explained validity,3,,Low
KECS-20240826-00015,Call Center,Nairobi,Westlands,Consumer,Home Fiber,Account/App,Account/App,Airtime top-up failure,Complaint,EN,"Hi KifaruTel, Airtime top-up failure on my Account/App. My number: 1343** (masked).",Neutral,0.004,Low,Resolved,6,3.20,Care-General,AG-08427,Provided troubleshooting steps,4,52,Low
KECS-20250309-00016,Email,Kilifi,Market,Consumer,Prepaid,VAS/Subscriptions,VAS/Subscriptions,Unwanted premium subscription,Complaint,EN,"Hi KifaruTel, Unwanted premium subscription on my VAS/Subscriptions.",Negative,-0.666,High,Resolved,40,31.60,Billing,AG-34123,Stopped subscription; refunded charges,2,-24,Medium
KECS-20240508-00017,Email,Kilifi,Stage,Consumer,Prepaid,Data Bundles,Data Bundles,Data depleted too fast,Complaint,EN,"Hi KifaruTel, Data depleted too fast on my Data Bundles. Bundle: Social Bundle (KES 100).",Negative,-0.312,Medium,Resolved,21,40.26,Tech-Network,AG-39904,Credited bundle; explained validity,1,-10,Low
KECS-20240901-00018,Call Center,Nairobi,Roysambu,Consumer,Prepaid,Account/App,Account/App,Airtime top-up failure,Complaint,EN,"Hi KifaruTel, Airtime top-up failure on my Account/App. My number: 7034** (masked).",Negative,-0.631,Medium,Resolved,10,14.36,Care-General,AG-93248,Provided troubleshooting steps,1,-42,Medium
KECS-20240920-00019,Mobile App Chat,Meru,Meru Town,Consumer,Prepaid,Home Internet,Home Internet,Relocation request,Complaint,EN,"Hi KifaruTel, Relocation request on my Home Internet. Location: Meru Town, Meru.",Neutral,0.139,Low,Escalated,29,11.31,Tech-Fiber,AG-33963,Applied service credit after downtime,,,Low
KECS-20241230-00020,Email,Mombasa,Kisauni,Consumer,Home 4G Router,Roaming & International,Roaming & International,OTP not received abroad,Complaint,SW,"Hi KifaruTel, OTP not received abroad on my Roaming & International. My number: 1343** (masked). nisaidie !!!",Negative,-0.828,Medium,Escalated,16,56.22,Care-General,AG-05045,Provided troubleshooting steps,,,Medium
KECS-20240502-00021,Call Center,Nyamira,Stage,Consumer,Prepaid,Data Bundles,Data Bundles,Hotspot/tethering issue,Complaint,SHENG,"Hi KifaruTel, Hotspot/tethering issue on my Data Bundles. Bundle: TikTok Pack (KES 50). nimechoka ????",Negative,-0.578,Medium,Resolved,8,19.28,Tech-Network,AG-64090,Advised app update and cache clear,2,,Medium
KECS-20250902-00022,SMS/USSD,Kisii,Stage,SME,Prepaid,Roaming & International,Roaming & International,Unexpected roaming charges,Request Refund/Reversal,SW,Naomba reversal/refund. Roaming & International: Unexpected roaming charges. Amount KES 300. My number: 6851** (masked). hii ni noma ??????,Negative,-0.437,Medium,Resolved,14,10.70,Care-General,AG-51370,Explained charges and plan details,2,,Low
KECS-20250523-00023,Call Center,Meru,Nkubu,SME,Prepaid,Home Internet,Home Internet,Fiber down / no internet,Complaint,SHENG,"Hi KifaruTel, Fiber down / no internet on my Home Internet. Location: Nkubu, Meru. nimechoka",Neutral,-0.316,Medium,Resolved,14,16.16,Tech-Fiber,AG-43171,Raised outage incident; provided ETA,4,,Low
KECS-20250912-00024,Call Center,Homa Bay,Town,Consumer,Prepaid,SIM & Registration,SIM & Registration,Lost SIM replacement,Complaint,EN,"Hi KifaruTel, Lost SIM replacement on my SIM & Registration. My number: 7758** (masked).",Negative,-0.702,Medium,Resolved,5,10.03,Care-General,AG-84700,Guided SIM replacement process,2,,Low
