ticket_id,created_at,channel,customer_id,msisdn_masked,county,area,customer_segment,plan_type,product,issue_category,issue_subcategory,intent,language,raw_message,sentiment_label,sentiment_score,priority,resolution_status,first_response_time_min,resolution_time_hours,assigned_team,agent_id,action_taken,csat_1to5,nps_-100to100,churn_risk
KECS-20250511-00001,2025-05-11 15:46:46,Call Center,CUST-6542351,2547161****49,Migori,Market,Consumer,Postpaid,Home Internet,Home Internet,Billing / plan upgrade,Complaint,EN,"Hi KifaruTel, Billing / plan upgrade on my Home Internet. Location: Market, Migori. ??",Negative,-0.541,Low,Resolved,11,11.63,Tech-Fiber,AG-86379,Scheduled technician visit,4,-42,Medium
KECS-20251118-00002,2025-11-18 18:01:00,Retail Shop,CUST-8350305,2547641****88,Bungoma,Town,Consumer,Prepaid,Data Bundles,Data Bundles,Bundle not activated,Complaint,EN,"Hi KifaruTel, Bundle not activated on my Data Bundles. Bundle: Daily 1GB (KES 50).",Negative,-0.702,Low,Resolved,57,12.64,Tech-Network,AG-19283,Advised app update and cache clear,2,-19,Medium
KECS-20240723-00003,2024-07-23 01:51:30,Email,CUST-4828148,2547932****43,Machakos,Machakos Town,Consumer,Prepaid,Account/App,Account/App,Profile update error,Complaint,SHENG,"Hi KifaruTel, Profile update error on my Account/App. My number: 1669** (masked). si fair",Neutral,-0.066,Low,Resolved,16,8.75,Care-General,AG-84514,Escalated to technical team,2,-55,Low
KECS-20240214-00004,2024-02-14 23:48:12,Call Center,CUST-0983930,2547103****99,Bungoma,Town,Consumer,Prepaid,Mobile Money,Mobile Money,PIN reset / locked account,Complaint,EN,"Hi KifaruTel, PIN reset / locked account on my Mobile Money. Transaction ref: M653306.",Negative,-0.774,Medium,Resolved,6,16.78,MobileMoney,AG-34657,Checked transaction status; advised retry,1,,Low
KECS-20250102-00005,2025-01-02 03:13:35,Call Center,CUST-7810801,2547326****46,Kakamega,Mumias,Consumer,Prepaid,Data Bundles,Data Bundles,Data depleted too fast,Complaint,SW,"Hi KifaruTel, Data depleted too fast on my Data Bundles. Bundle: Daily 200MB (KES 20). niko area ya ??",Negative,-0.961,Low,Resolved,29,6.31,Tech-Network,AG-87262,Advised app update and cache clear,2,-78,Medium
KECS-20250625-00006,2025-06-25 01:24:24,Mobile App Chat,CUST-9985435,2547346****83,Taita Taveta,Home,Consumer,Prepaid,Account/App,Account/App,Airtime top-up failure,Complaint,EN,"Hi KifaruTel, Airtime top-up failure on my Account/App. My number: 2081** (masked). !!!",Neutral,-0.086,Low,Resolved,13,3.30,Care-General,AG-93990,Escalated to technical team,4,,Low
KECS-20250127-00007,2025-01-27 22:22:27,Call Center,CUST-4874016,2547400****28,Kwale,Town,SME,Prepaid,Mobile Money,Mobile Money,Fraud / scam report,Inquiry,EN,Nahitaji kujua about Mobile Money: Fraud / scam report. Transaction ref: M413921.,Negative,-0.782,Medium,Resolved,10,8.84,MobileMoney,AG-18244,Escalated to payments team,4,,Low
KECS-20240128-00008,2024-01-28 23:36:47,Retail Shop,CUST-0256342,2547160****54,Bungoma,Market,Consumer,Prepaid,Data Bundles,Data Bundles,Night bundle / validity confusion,Praise,SHENG,Great support KifaruTel customer care. Data Bundles issue ilirekebishwa. Bundle: Daily 200MB (KES 20). hii vitu,Positive,0.648,Medium,Pending,11,35.92,Tech-Network,AG-92322,Advised app update and cache clear,,,Low
KECS-20251102-00009,2025-11-02 08:42:24,Call Center,CUST-8356159,2547514****29,Nyandarua,Stage,Consumer,Prepaid,Account/App,Account/App,Airtime top-up failure,Report Fraud,SHENG,Please help! Fraud/scam on my line. Account/App: Airtime top-up failure. Amount KES 20. My number: 0196** (masked). saa hii,Negative,-0.919,Medium,Resolved,13,3.42,Care-General,AG-69340,Logged complaint for follow-up,1,,Medium
KECS-20250318-00010,2025-03-18 00:53:27,WhatsApp,CUST-7632016,2547328****57,Nyeri,Town,Consumer,Prepaid,SIM & Registration,SIM & Registration,Lost SIM replacement,Complaint,EN,"Hi KifaruTel, Lost SIM replacement on my SIM & Registration. My number: 1489** (masked). ??",Negative,-0.607,Low,Resolved,18,8.33,Care-General,AG-37917,Verified KYC documents; updated profile,2,-44,Low
KECS-20250420-00011,2025-04-20 20:40:01,Retail Shop,CUST-2316658,2547760****66,Kitui,Home,SME,Prepaid,VAS/Subscriptions,VAS/Subscriptions,Stop SMS/USSD subscription,Complaint,SW,"Hi KifaruTel, Stop SMS/USSD subscription on my VAS/Subscriptions. niko area ya ????",Negative,-0.975,Low,Resolved,14,5.35,Billing,AG-34558,Stopped subscription; educated on opt-in,3,-25,Medium
KECS-20250222-00012,2025-02-22 01:09:30,Email,CUST-6417080,2547531****93,Nyeri,Market,Consumer,Prepaid,Voice & SMS,Voice & SMS,Can't make/receive calls,Inquiry,SW,How do I about Voice & SMS: Can't make/receive calls. My number: 6990** (masked). nisaidie,Negative,-1.000,High,Resolved,26,18.74,Tech-Network,AG-65375,Logged complaint for follow-up,2,-17,Low
KECS-20241227-00013,2024-12-27 04:51:42,Facebook,CUST-5067165,2547726****31,Nyandarua,Market,Consumer,Pocket WiFi,SIM & Registration,SIM & Registration,Number portability,Complaint,EN,"Hi KifaruTel, Number portability on my SIM & Registration. My number: 6319** (masked).",Negative,-0.423,Medium,Pending,38,11.22,Care-General,AG-91905,Guided SIM replacement process,,,Medium
KECS-20240804-00014,2024-08-04 15:35:57,Retail Shop,CUST-3777014,2547363****74,Mombasa,Kisauni,Consumer,Postpaid,Data Bundles,Data Bundles,Slow internet / buffering,Complaint,EN,"Hi KifaruTel, Slow internet / buffering on my Data Bundles. Bundle: Social Bundle (KES 100).",Neutral,-0.027,Medium,Resolved,27,26.65,Tech-Network,AG-08313,Credited bundle; explained validity,3,,Low
KECS-20240826-00015,2024-08-26 03:52:00,Call Center,CUST-4777520,2547471****31,Nairobi,Westlands,Consumer,Home Fiber,Account/App,Account/App,Airtime top-up failure,Complaint,EN,"Hi KifaruTel, Airtime top-up failure on my Account/App. My number: 1343** (masked).",Neutral,0.004,Low,Resolved,6,3.20,Care-General,AG-08427,Provided troubleshooting steps,4,52,Low
KECS-20250309-00016,2025-03-09 11:14:07,Email,CUST-7974034,2547471****10,Kilifi,Market,Consumer,Prepaid,VAS/Subscriptions,VAS/Subscriptions,Unwanted premium subscription,Complaint,EN,"Hi KifaruTel, Unwanted premium subscription on my VAS/Subscriptions.",Negative,-0.666,High,Resolved,40,31.60,Billing,AG-34123,Stopped subscription; refunded charges,2,-24,Medium
